City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,idri,27.5,13.2667,34.09,24,0,3.69,LY,1722245884
278,shetpe,44.1667,52.1167,29.23,27,75,3.15,KZ,1722245884
279,claiborne,32.516,-92.1918,25.84,90,0,1.54,US,1722245884
280,hadibu,12.65,54.0333,27.91,70,74,11.87,YE,1722245885
281,northam,51.0333,-4.2167,23.14,69,2,2.25,GB,1722245885
282,arvi,20.9833,78.2333,26.95,81,84,6.4,IN,1722245885
283,naze,28.3667,129.4833,29.51,78,90,1.03,JP,1722245886
284,port moresby,-9.4431,147.1797,24.67,78,9,7.92,PG,1722245886
285,puerto carreno,6.189,-67.4859,23.74,95,100,0.82,CO,1722245887
286,lompoc,34.6391,-120.4579,14.4,84,100,2.57,US,1722245887
287,aykhal,66.0,111.5,17.35,51,25,7.37,RU,1722245887
288,santa barbara,34.7333,-120.0343,11.44,81,100,0.0,US,1722245747
289,katabu,-4.9333,122.5167,25.52,83,75,3.38,ID,1722245888
290,daloa,6.8774,-6.4502,23.8,90,100,2.67,CI,1722245888
291,vodnyy,63.5046,53.4095,22.04,50,76,2.78,RU,1722245889
292,kiruna,67.8557,20.2251,11.51,82,100,4.63,SE,1722245889
293,kayangel,8.0823,134.7173,28.79,71,13,1.9,PW,1722245889
294,kerikeri,-35.2268,173.9474,12.17,93,100,4.05,NZ,1722245890
295,aiquile,-18.2041,-65.1807,11.37,91,100,1.34,BO,1722245890
296,buala,-8.145,159.5921,26.42,81,96,2.26,SB,1722245890
297,codrington,-38.2667,141.9667,10.16,70,100,0.79,AU,1722245891
298,sao jose da coroa grande,-8.8978,-35.1478,24.7,85,59,5.01,BR,1722245891
299,east end,34.5507,-92.341,25.42,87,1,2.53,US,1722245891
300,tagkawayan sabang,13.9911,122.5289,27.6,82,100,1.16,PH,1722245892
301,itoman,26.1247,127.6694,31.43,71,75,5.14,JP,1722245892
302,magadan,59.5667,150.8,12.37,74,6,2.68,RU,1722245892
303,bennettsville,34.6174,-79.6848,22.37,91,75,1.54,US,1722245893
304,farim,12.4839,-15.2217,28.05,79,99,1.43,GW,1722245893
305,minas de matahambre,22.5887,-83.9447,24.56,88,97,1.54,CU,1722245893
306,culfa,38.9558,45.6308,28.93,34,14,5.18,AZ,1722245894
307,okhotsk,59.3833,143.3,13.02,78,77,3.93,RU,1722245894
308,illizi,26.4833,8.4667,38.89,15,0,4.53,DZ,1722245894
309,stawell,-37.05,142.7667,8.86,74,100,0.23,AU,1722245895
310,hammerfest,70.6634,23.6821,11.25,100,100,3.09,NO,1722245895
311,saint-francois,46.4154,3.9054,26.49,73,0,2.28,FR,1722245895
312,kurchatov,51.6601,35.6521,23.01,28,77,7.86,RU,1722245867
313,kalmunai,7.4167,81.8167,33.05,49,100,1.22,LK,1722245896
314,punta arenas,-53.15,-70.9167,3.06,81,75,4.63,CL,1722245896
315,tyuratam,45.6507,63.3156,29.87,20,100,4.73,KZ,1722245896
316,mahajanga,-15.7167,46.3167,31.01,40,20,4.63,MG,1722245897
317,whangarei,-35.7317,174.3239,13.78,97,100,2.33,NZ,1722245897
318,bandon,51.7469,-8.7425,15.77,69,60,3.47,IE,1722245898
319,toliara,-23.35,43.6667,24.53,50,0,5.25,MG,1722245898
320,nagqu,31.5,92.0,14.29,37,100,4.79,CN,1722245898
321,caleta de carquin,-11.0925,-77.6267,15.74,87,38,1.54,PE,1722245899
322,malango,-2.9627,119.9001,20.93,99,64,0.73,ID,1722245899
323,eyl,7.9803,49.8164,34.42,42,43,11.55,SO,1722245899
324,melilla,35.2937,-2.9383,28.11,83,75,5.66,ES,1722245900
325,save,8.0425,2.486,23.83,86,100,2.93,BJ,1722245900
326,lisakovsk,52.5369,62.4936,20.78,48,58,6.52,KZ,1722245900
327,najran,17.4924,44.1277,35.36,15,93,9.62,SA,1722245901
328,avarua,-21.2078,-159.775,21.03,73,75,3.09,CK,1722245901
329,iaciara,-14.0958,-46.6317,18.83,51,2,0.83,BR,1722245901
330,port saint john's,-31.6229,29.5448,18.97,27,0,4.1,ZA,1722245902
331,khorugh,37.4897,71.553,28.37,19,0,1.5,TJ,1722245902
332,tromso,69.6496,18.957,15.01,67,40,2.06,NO,1722245902
333,mar del plata,-38.0023,-57.5575,3.86,62,2,4.47,AR,1722245903
334,port augusta,-32.5,137.7667,9.5,47,91,3.0,AU,1722245903
335,villa bruzual,9.3328,-69.1208,21.38,97,58,0.57,VE,1722245903
336,berdigestyakh,62.0989,126.6992,17.93,74,98,1.25,RU,1722245904
